year,month,day,hour,DEWP,TEMP
2010,1,1,0,-21,-11
2010,1,1,1,-21,-12
2010,1,1,2,-21,-11
2010,1,1,3,-21,-14
2010,1,1,4,-20,-12
2010,1,1,5,-19,-10
2010,1,1,6,-19,-9
2010,1,1,7,-19,-9
2010,1,1,8,-19,-9
2010,1,1,9,-20,-8
2010,1,1,10,-19,-7
2010,1,1,11,-18,-5
2010,1,1,12,-19,-5
2010,1,1,13,-18,-3
2010,1,1,14,-18,-2
2010,1,1,15,-18,-1
2010,1,1,16,-19,-2
2010,1,1,17,-18,-3
2010,1,1,18,-18,-5
2010,1,1,19,-17,-4
2010,1,1,20,-17,-5
2010,1,1,21,-17,-5
2010,1,1,22,-17,-5
2010,1,1,23,-17,-5
2010,1,2,0,-16,-4
2010,1,2,1,-15,-4
2010,1,2,2,-11,-5
2010,1,2,3,-7,-5
2010,1,2,4,-7,-5
2010,1,2,5,-7,-6
2010,1,2,6,-7,-6
2010,1,2,7,-7,-5
2010,1,2,8,-8,-6
2010,1,2,9,-7,-5
2010,1,2,10,-7,-5
2010,1,2,11,-8,-5
2010,1,2,12,-8,-5
2010,1,2,13,-8,-5
2010,1,2,14,-9,-5
2010,1,2,15,-9,-5
2010,1,2,16,-9,-5
2010,1,2,17,-8,-5
2010,1,2,18,-8,-5
2010,1,2,19,-8,-5
2010,1,2,20,-7,-5
2010,1,2,21,-7,-5
2010,1,2,22,-8,-6
2010,1,2,23,-8,-6
2010,1,3,0,-7,-6
2010,1,3,1,-8,-6
2010,1,3,2,-8,-7
2010,1,3,3,-8,-7
2010,1,3,4,-8,-7
2010,1,3,5,-9,-8
2010,1,3,6,-10,-8
2010,1,3,7,-10,-9
2010,1,3,8,-10,-9
2010,1,3,9,-11,-9
2010,1,3,10,-11,-9
2010,1,3,11,-11,-9
2010,1,3,12,-11,-9
2010,1,3,13,-11,-9
2010,1,3,14,-11,-9
2010,1,3,15,-11,-9
2010,1,3,16,-11,-9
2010,1,3,17,-11,-9
2010,1,3,18,-11,-9
2010,1,3,19,-11,-9
2010,1,3,20,-10,-9
2010,1,3,21,-11,-10
2010,1,3,22,-11,-9
2010,1,3,23,-12,-11
